#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9Y2D8	uniprotkb:B1AY10	intact:EBI-2212028|uniprotkb:B4DFE3|uniprotkb:J3KR02|uniprotkb:A8K8W0|uniprotkb:D3DT13|uniprotkb:Q6P2P8|uniprotkb:Q6ULS1|uniprotkb:Q7L168|uniprotkb:Q9UIX0|intact:EBI-10964529	intact:EBI-11707102|uniprotkb:Q3U2A7|uniprotkb:Q3UK95|uniprotkb:Q3UMW1|uniprotkb:Q7TPT4|uniprotkb:Q8CC59|uniprotkb:Q9DBC8|uniprotkb:Q9JKW7	psi-mi:adip_human(display_long)|uniprotkb:SSX2IP(gene name)|psi-mi:SSX2IP(display_short)|uniprotkb:KIAA0923(gene name synonym)|uniprotkb:Afadin DIL domain-interacting protein(gene name synonym)|uniprotkb:SSX2-interacting protein(gene name synonym)	psi-mi:nfx1_mouse(display_long)|uniprotkb:Nfx1(gene name)|psi-mi:Nfx1(display_short)|uniprotkb:Nuclear transcription factor, X box-binding protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Kurtulmus et al. (2016)	pubmed:26675238|imex:IM-25299	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-11695166|imex:IM-25299-9	intact-miscore:0.35
uniprotkb:Q9VN86	uniprotkb:P40798	intact:EBI-89522	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q9vn86_drome(display_long)|uniprotkb:Sccpdh1(gene name)|psi-mi:Sccpdh1(display_short)|uniprotkb:CT40966(gene name synonym)|uniprotkb:Dmel\CG2604(gene name synonym)|uniprotkb:CG2604(orf name)|uniprotkb:Dmel_CG2604(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-258716|imex:IM-16524-14214	author score:0.34|author score:low|intact-miscore:0.37
uniprotkb:Q94523	uniprotkb:P40798	intact:EBI-152453|uniprotkb:Q9I7G3|uniprotkb:C7LA77|uniprotkb:A4UZP5|uniprotkb:Q0E918	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:sdha_drome(display_long)|uniprotkb:Scs-fp(gene name synonym)|uniprotkb:Succinyl coenzyme A synthetase flavoprotein subunit(gene name synonym)|uniprotkb:SdhA(gene name)|psi-mi:SdhA(display_short)|uniprotkb:CG17246(orf name)|uniprotkb:Flavoprotein subunit of complex II(gene name synonym)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-249379|imex:IM-16524-12068	author score:0.18|author score:low|intact-miscore:0.37
uniprotkb:Q9V3I9	uniprotkb:P40798	intact:EBI-115777	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q9v3i9_drome(display_long)|uniprotkb:"BG:DS07851.5"(gene name)|psi-mi:"BG:DS07851.5"(display_short)|uniprotkb:CG15262-RA(gene name synonym)|uniprotkb:Dmel\CG15262(gene name synonym)|uniprotkb:CG15262(orf name)|uniprotkb:Dmel_CG15262(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-242638|imex:IM-16524-10450	author score:0.34|author score:low|intact-miscore:0.37
intact:EBI-151243	uniprotkb:P40798	-	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q9w3g4_drome(display_short)|psi-mi:EBI-151243(display_long)|uniprotkb:Dmel_CG15344(orf name)|uniprotkb:CG15344(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-242883|imex:IM-16524-10511	author score:0.18|author score:low|intact-miscore:0.37
uniprotkb:Q9VZ44	uniprotkb:P40798	intact:EBI-172504	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q9vz44_drome(display_long)|uniprotkb:C901-RA(gene name synonym)|uniprotkb:CG1567(orf name)|uniprotkb:10(gene name synonym)|uniprotkb:CT4052(gene name synonym)|uniprotkb:Dmel\CG1567(gene name synonym)|uniprotkb:anon-10Ab(gene name synonym)|uniprotkb:c901(gene name synonym)|uniprotkb:cDNA 901(gene name synonym)|uniprotkb:Dmel_CG1567(orf name)|uniprotkb:C901(gene name)|psi-mi:C901(display_short)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-245071|imex:IM-16524-11024	author score:0.35|author score:low|intact-miscore:0.37
uniprotkb:Q9VPI4	uniprotkb:P40798	intact:EBI-192251	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q9vpi4_drome(display_long)|uniprotkb:CG31973-RA(gene name synonym)|uniprotkb:"BcDNA:RH43162"(gene name synonym)|uniprotkb:DmCDA5(gene name synonym)|uniprotkb:Dmel\CG31973(gene name synonym)|uniprotkb:Dmel_CG31973(orf name)|uniprotkb:CG31973(orf name)|uniprotkb:CG2761(gene name synonym)|uniprotkb:CG2776(gene name synonym)|uniprotkb:Cda5(gene name)|psi-mi:Cda5(display_short)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-264877|imex:IM-16524-15660	author score:0.23|author score:low|intact-miscore:0.37
uniprotkb:Q9VYA4	uniprotkb:P40798	intact:EBI-125334	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q9vya4_drome(display_long)|uniprotkb:Dmel\CG11164(gene name)|psi-mi:Dmel\CG11164(display_short)|uniprotkb:Ribonuclease HI subunit B(gene name synonym)|uniprotkb:CG11164(orf name)|uniprotkb:Dmel_CG11164(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-210679|imex:IM-16524-3006	author score:0.12|author score:low|intact-miscore:0.37
uniprotkb:Q9V490	uniprotkb:P40798	intact:EBI-111465|uniprotkb:Q961N4	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q9v490_drome(display_long)|uniprotkb:Dmel\CG11186(gene name synonym)|uniprotkb:Pax-6(gene name synonym)|uniprotkb:TOY(gene name synonym)|uniprotkb:Toy(gene name synonym)|uniprotkb:"l(4)102CDg"(gene name synonym)|uniprotkb:"l(4)8"(gene name synonym)|uniprotkb:Dmel_CG11186(orf name)|uniprotkb:CG11186(orf name)|uniprotkb:toy(gene name)|psi-mi:toy(display_short)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-211386|imex:IM-16524-3168	author score:0.14|author score:low|intact-miscore:0.37
uniprotkb:P32829	uniprotkb:P53971	intact:EBI-11255|uniprotkb:D6W049|uniprotkb:P87289|uniprotkb:Q07173	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:mre11_yeast(display_long)|uniprotkb:YM9959.06C(orf name)|uniprotkb:YMR224C(locus name)|uniprotkb:MRE11(gene name)|psi-mi:MRE11(display_short)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0018"(two hybrid)	Uetz et al. (2000)	pubmed:10688190|mint:MINT-5212268	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-390291	intact-miscore:0.37
uniprotkb:P19524	uniprotkb:P53971	intact:EBI-11659|uniprotkb:D6W323	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:myo2_yeast(display_long)|uniprotkb:Class V unconventional myosin MYO2(gene name synonym)|uniprotkb:Type V myosin heavy chain MYO2(gene name synonym)|uniprotkb:Cell division control protein 66(gene name synonym)|uniprotkb:MYO2(gene name)|psi-mi:MYO2(display_short)|uniprotkb:CDC66(gene name synonym)|uniprotkb:YOR326W(locus name)|uniprotkb:O6167(orf name)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Krogan et al. (2006)	pubmed:16554755|imex:IM-15332|mint:MINT-5218454	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7424650|mint:MINT-2162831|imex:IM-15332-3524	intact-miscore:0.40
uniprotkb:P15646	uniprotkb:P53971	intact:EBI-6838|uniprotkb:D6VRX5|uniprotkb:P89890	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:fbrl_yeast(display_long)|uniprotkb:U3 small nucleolar RNA-associated protein NOP1(gene name synonym)|uniprotkb:Histone-glutamine methyltransferase(gene name synonym)|uniprotkb:NOP1(gene name)|psi-mi:NOP1(display_short)|uniprotkb:LOT3(gene name synonym)|uniprotkb:YDL014W(locus name)|uniprotkb:D2870(orf name)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Krogan et al. (2006)	pubmed:16554755|imex:IM-15332|mint:MINT-5218454	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7301724|mint:MINT-2118639|imex:IM-15332-3309	intact-miscore:0.40
uniprotkb:P11484	uniprotkb:P53971	intact:EBI-8627|uniprotkb:Q05834|uniprotkb:D6VRC7|intact:EBI-29890	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:ssb1_yeast(display_long)|uniprotkb:Cold-inducible protein YG101(gene name synonym)|uniprotkb:Heat shock protein SSB1(gene name synonym)|uniprotkb:Hsp70 chaperone Ssb(gene name synonym)|uniprotkb:YDL229W(locus name)|uniprotkb:SSB1(gene name)|psi-mi:SSB1(display_short)|uniprotkb:YG101(gene name synonym)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-3753871	intact-miscore:0.35
uniprotkb:P40150	uniprotkb:P53971	intact:EBI-8632|uniprotkb:D6W0Y1	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:ssb2_yeast(display_long)|uniprotkb:Heat shock protein SSB2(gene name synonym)|uniprotkb:Hsp70 chaperone Ssb(gene name synonym)|uniprotkb:YG103(gene name synonym)|uniprotkb:N1333(orf name)|uniprotkb:YNL209W(locus name)|uniprotkb:SSB2(gene name)|psi-mi:SSB2(display_short)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-3720758	intact-miscore:0.35
uniprotkb:P32589	uniprotkb:P53971	intact:EBI-8648|uniprotkb:D6W3R1	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:hsp7f_yeast(display_long)|uniprotkb:Chaperone protein MSI3(gene name synonym)|uniprotkb:SSE1(gene name)|psi-mi:SSE1(display_short)|uniprotkb:MSI3(gene name synonym)|uniprotkb:YPL106C(locus name)|uniprotkb:LPG3C(orf name)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-3724966	intact-miscore:0.35
uniprotkb:P10592	uniprotkb:P53971	intact:EBI-8603|uniprotkb:D6VXY0	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:hsp72_yeast(display_long)|uniprotkb:L0931(orf name)|uniprotkb:YLL024C(locus name)|uniprotkb:SSA2(gene name)|psi-mi:SSA2(display_short)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-3710329	intact-miscore:0.35
uniprotkb:P11484	uniprotkb:P53971	intact:EBI-8627|uniprotkb:Q05834|uniprotkb:D6VRC7|intact:EBI-29890	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:ssb1_yeast(display_long)|uniprotkb:Cold-inducible protein YG101(gene name synonym)|uniprotkb:Heat shock protein SSB1(gene name synonym)|uniprotkb:Hsp70 chaperone Ssb(gene name synonym)|uniprotkb:YDL229W(locus name)|uniprotkb:SSB1(gene name)|psi-mi:SSB1(display_short)|uniprotkb:YG101(gene name synonym)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Gong et al. (2009)	pubmed:19536198	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-3779475	intact-miscore:0.35
uniprotkb:O75807	uniprotkb:B1Q2B0	intact:EBI-714746|uniprotkb:B4DKQ3|uniprotkb:Q6IA96|uniprotkb:Q9NVU6	intact:EBI-9977473	psi-mi:pr15a_human(display_long)|uniprotkb:Growth arrest and DNA damage-inducible protein GADD34(gene name synonym)|uniprotkb:Myeloid differentiation primary response protein MyD116 homolog(gene name synonym)|uniprotkb:PPP1R15A(gene name)|psi-mi:PPP1R15A(display_short)|uniprotkb:GADD34(gene name synonym)	psi-mi:b1q2b0_human(display_long)|uniprotkb:URCC5(gene name)|psi-mi:URCC5(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Goh et al. (2017)	imex:IM-23248|pubmed:29109149	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9976880|imex:IM-23248-1	intact-miscore:0.35
uniprotkb:P57078	uniprotkb:Q6ZNB6	intact:EBI-4422308|uniprotkb:Q96KH0	intact:EBI-6117166|uniprotkb:B1Q2K1|uniprotkb:Q86VG1|uniprotkb:Q8WVH1	psi-mi:ripk4_human(display_long)|uniprotkb:RIPK4(gene name)|psi-mi:RIPK4(display_short)|uniprotkb:ANKRD3(gene name synonym)|uniprotkb:DIK(gene name synonym)|uniprotkb:Ankyrin repeat domain-containing protein 3(gene name synonym)|uniprotkb:PKC-delta-interacting protein kinase(gene name synonym)	psi-mi:nfxl1_human(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:OZFP(gene name synonym)|uniprotkb:Ovarian zinc finger protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rodriguez et al. (2016)	pubmed:26972000|imex:IM-22750	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-12503575|imex:IM-22750-4	intact-miscore:0.35
uniprotkb:P27824	uniprotkb:Q6ZNB6	intact:EBI-355947|uniprotkb:B2R5V8|intact:EBI-9513217|uniprotkb:B4DGP8|uniprotkb:B4E2T8|uniprotkb:D6R9K3|uniprotkb:D3DWQ3	intact:EBI-6117166|uniprotkb:B1Q2K1|uniprotkb:Q86VG1|uniprotkb:Q8WVH1	psi-mi:calx_human(display_long)|uniprotkb:Major histocompatibility complex class I antigen-binding protein p88(gene name synonym)|uniprotkb:p90(gene name synonym)|uniprotkb:IP90(gene name synonym)|uniprotkb:CANX(gene name)|psi-mi:CANX(display_short)	psi-mi:nfxl1_human(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:OZFP(gene name synonym)|uniprotkb:Ovarian zinc finger protein(gene name synonym)	psi-mi:"MI:1314"(proximity-dependent biotin identification)	Liu et al. (2018)	pubmed:29568061|imex:IM-26301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16788621|imex:IM-26301-85	intact-miscore:0.35
uniprotkb:P23023-2	uniprotkb:Q9VZF2	intact:EBI-15110079	intact:EBI-118895|uniprotkb:Q52KA5	psi-mi:p23023-2(display_long)|uniprotkb:dsx(gene name)|psi-mi:dsx(display_short)|uniprotkb:CG11094(orf name)|uniprotkb:B(isoform synonym)|uniprotkb:C(isoform synonym)	psi-mi:q9vzf2_drome(display_long)|uniprotkb:cg15011(gene name)|psi-mi:cg15011(display_short)|uniprotkb:Dmel\CG15011(gene name synonym)|uniprotkb:CG15011(orf name)|uniprotkb:Dmel_CG15011(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Hu, et al. (2017)	pubmed:unassigned1513|imex:IM-25777	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-15170766|imex:IM-25777-4813	intact-miscore:0.49
uniprotkb:Q29QK1	uniprotkb:Q9VZF2	intact:EBI-15109051	intact:EBI-118895|uniprotkb:Q52KA5	psi-mi:q29qk1_drome(display_long)	psi-mi:q9vzf2_drome(display_long)|uniprotkb:cg15011(gene name)|psi-mi:cg15011(display_short)|uniprotkb:Dmel\CG15011(gene name synonym)|uniprotkb:CG15011(orf name)|uniprotkb:Dmel_CG15011(orf name)	psi-mi:"MI:0397"(two hybrid array)	Hu, et al. (2017)	pubmed:unassigned1513|imex:IM-25777	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-15147433|imex:IM-25777-7201	intact-miscore:0.49
uniprotkb:P23023-2	uniprotkb:Q9VZF2	intact:EBI-15110079	intact:EBI-118895|uniprotkb:Q52KA5	psi-mi:p23023-2(display_long)|uniprotkb:dsx(gene name)|psi-mi:dsx(display_short)|uniprotkb:CG11094(orf name)|uniprotkb:B(isoform synonym)|uniprotkb:C(isoform synonym)	psi-mi:q9vzf2_drome(display_long)|uniprotkb:cg15011(gene name)|psi-mi:cg15011(display_short)|uniprotkb:Dmel\CG15011(gene name synonym)|uniprotkb:CG15011(orf name)|uniprotkb:Dmel_CG15011(orf name)	psi-mi:"MI:0397"(two hybrid array)	Hu, et al. (2017)	pubmed:unassigned1513|imex:IM-25777	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-15170776|imex:IM-25777-5239	intact-miscore:0.49
uniprotkb:P35579	uniprotkb:Q12986	intact:EBI-350338|uniprotkb:Q86T83|intact:EBI-1054343|dip:DIP-33103N|uniprotkb:A8K6E4|uniprotkb:Q60FE2|uniprotkb:O60805	intact:EBI-2130062|uniprotkb:A8K6H8|uniprotkb:Q5VXW6|uniprotkb:Q96EL5|uniprotkb:Q9BXI1	psi-mi:myh9_human(display_long)|uniprotkb:MYH9(gene name)|psi-mi:MYH9(display_short)|uniprotkb:Myosin heavy chain 9(gene name synonym)|uniprotkb:Myosin heavy chain, non-muscle IIa(gene name synonym)|uniprotkb:Non-muscle myosin heavy chain IIa(gene name synonym)|uniprotkb:Cellular myosin heavy chain, type A(gene name synonym)|uniprotkb:Non-muscle myosin heavy chain A(gene name synonym)	psi-mi:nfx1_human(display_long)|uniprotkb:NFX2(gene name synonym)|uniprotkb:Nuclear transcription factor, X box-binding protein 1(gene name synonym)|uniprotkb:NFX1(gene name)|psi-mi:NFX1(display_short)	psi-mi:"MI:0030"(cross-linking study)	Fasci et al. (2018)	pubmed:30021884|imex:IM-26653|doi:10.1074/mcp.ra118.000924	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-20917344|imex:IM-26653-101	intact-miscore:0.40
uniprotkb:P12270	uniprotkb:Q6ZNB6	intact:EBI-1048528|uniprotkb:Q99968|uniprotkb:Q5SWY0|intact:EBI-2555905|uniprotkb:Q15624|uniprotkb:Q15655	intact:EBI-6117166|uniprotkb:B1Q2K1|uniprotkb:Q86VG1|uniprotkb:Q8WVH1	psi-mi:tpr_human(display_long)|uniprotkb:Megator(gene name synonym)|uniprotkb:NPC-associated intranuclear protein(gene name synonym)|uniprotkb:Translocated promoter region protein(gene name synonym)|uniprotkb:TPR(gene name)|psi-mi:TPR(display_short)	psi-mi:nfxl1_human(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:OZFP(gene name synonym)|uniprotkb:Ovarian zinc finger protein(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Fasci et al. (2018)	pubmed:30021884|imex:IM-26653|doi:10.1074/mcp.ra118.000924	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-20924442|imex:IM-26653-1487	intact-miscore:0.40
